ad_id,Donate,Contact,Purchase,Vote,Event,Poll,Acquisition,Learn,Persuade
x_1004027638161125,0,0,0,0,0,0,0,1,1
x_1004037997873541,0,0,0,0,1,0,0,0,0
x_1004052428160392,0,0,0,0,0,0,0,0,0
x_1004092791472191,0,0,0,1,0,0,1,0,0
x_1004092988138124,0,0,0,1,0,0,0,0,1
x_1004097488427952,0,0,0,1,0,0,0,1,0
x_1004098668158276,0,0,0,0,0,0,1,0,0
x_1004110241448817,0,0,1,0,0,0,0,0,0
x_1004114138178981,1,0,1,0,0,0,0,0,0
x_1004141747722393,0,0,1,0,0,0,0,1,0
x_1004143758180371,0,0,0,1,0,0,0,1,0
x_1004156958393111,0,0,0,0,0,0,0,0,1
x_1004167361451087,0,0,0,1,0,0,0,0,0
x_1004177541405720,0,0,1,0,0,0,0,0,0
x_1004185064545635,0,0,0,0,0,0,0,0,0
x_1004186541391381,0,0,0,0,0,0,1,0,0
x_1004207028129062,0,0,0,0,0,0,0,0,1
x_1004211241500203,1,0,0,0,0,0,0,0,0
x_1004228598022029,0,0,1,0,0,0,0,0,0
x_1004236664173264,1,0,0,0,0,0,0,0,0
x_1004244728165546,0,0,0,1,0,0,0,0,0
x_1004247565002598,0,0,0,0,0,0,0,0,0
x_1004257338141547,0,0,0,0,0,0,0,0,1
x_1004261111456967,0,0,0,0,0,0,0,0,1
x_1004261671474417,0,0,0,0,0,0,0,1,0
x_1004302711466837,0,1,0,0,0,0,0,1,0
x_1004316901433343,0,0,0,0,0,0,0,0,0
x_1004331128129473,0,0,0,1,0,0,0,1,0
x_1004352811443667,0,0,0,1,0,0,0,0,0
x_1004370798154295,0,0,0,0,0,0,0,1,1
x_1004371138162091,0,0,0,1,0,0,0,1,0
x_1004391024822228,0,0,0,0,0,0,0,0,1
x_1004397245031883,0,0,0,0,0,0,0,0,1
x_1004402401441242,1,0,0,0,0,0,0,0,0
x_1004413714698920,0,0,0,0,0,0,0,1,1
x_1004413841370873,0,0,0,1,0,0,0,1,0
x_1004419368099900,1,0,0,0,0,0,0,0,0
x_1004423188108979,0,0,0,1,0,0,0,0,0
x_1004432771700905,0,0,0,0,0,0,0,1,1
x_1004436425054506,0,0,1,0,0,0,0,0,0
x_1004440898150270,0,0,0,0,1,0,0,0,0
x_1004454364338593,0,0,0,0,0,0,1,0,1
x_1004455994465573,1,0,0,0,0,0,0,0,0
x_1004469138153011,0,0,0,1,0,0,0,1,0
x_1004469834711304,0,0,0,0,0,0,0,1,1
x_1004471928116130,0,0,0,0,0,0,0,0,0
x_1004474058123856,0,0,0,0,1,0,0,1,0
x_1004478688114626,0,0,0,0,0,0,0,1,0
x_1004479328116150,0,0,0,0,0,0,0,0,0
x_1004481184500157,0,0,0,1,0,0,0,0,0
x_1004482034756060,0,0,0,0,0,0,0,0,0
x_1004486314388266,0,0,0,0,0,1,0,0,0
x_1004501981454267,0,0,0,0,0,0,0,0,0
x_1004508157810309,0,0,0,0,0,0,0,0,0
x_1004512401418180,1,0,0,0,0,0,0,0,0
x_1004515101473146,0,0,0,0,0,0,0,1,0
x_1004519024481095,0,0,0,0,0,0,0,0,0
x_1004526511476400,0,0,0,0,0,0,0,0,1
x_1004535274764015,0,0,1,0,0,0,0,0,0
x_1004545708132172,0,0,1,0,0,0,0,1,0
x_1004547915049568,0,0,0,0,1,0,0,0,0
x_1004549894703186,0,0,0,0,0,0,0,0,1
x_1004554754345618,0,0,0,0,0,0,0,0,0
x_1004564601351612,0,0,0,0,0,0,0,0,0
x_1004570264758083,1,0,0,0,0,0,0,0,0
x_1004572201445741,0,0,0,0,0,0,0,1,1
x_1004597187816956,0,0,1,0,0,0,0,1,0
x_1004598011349647,0,0,0,0,0,0,0,0,1
x_1004601854776215,1,0,0,0,0,0,0,0,0
x_1004611918078149,0,0,1,0,0,0,0,1,0
x_1004613391461773,0,0,0,0,1,0,0,0,1
x_1004639628016018,0,0,0,0,0,0,0,0,1
x_1004641674362822,0,0,0,0,0,1,0,0,0
x_1004656071454538,0,0,0,0,0,0,0,0,0
x_1004699574760359,0,0,0,1,0,0,0,0,0
x_1004704678020309,0,0,0,0,0,0,0,1,1
x_1004734804562121,0,0,0,0,0,0,1,0,0
x_1004735204310944,0,0,1,0,0,0,0,0,0
x_1004741084667058,0,0,0,1,0,0,0,0,0
x_1004748241419609,0,0,0,1,0,0,0,1,0
x_1004748278329062,0,0,0,0,1,0,0,1,0
x_1004763157809173,0,0,1,0,0,0,0,0,0
x_1004769264771286,0,0,0,1,0,0,0,0,0
x_1004773178086245,0,0,0,1,0,0,0,0,0
x_1004774601285469,0,0,0,0,0,1,0,0,0
x_1004776131662580,0,0,0,1,0,0,0,1,0
x_1004789591456849,1,0,0,0,0,0,0,0,0
x_1004792411425757,0,0,0,0,0,0,0,1,1
x_1004816141381078,0,0,0,0,0,0,0,0,0
